ds,actual,lstm_test,lstm_forecast
2017-01-09,265.0,267.60806,
2017-01-10,262.0,265.2264,
2017-01-11,260.0,262.8948,
2017-01-12,265.0,260.83878,
2017-01-13,270.0,264.5924,
2017-01-16,270.0,269.15994,
2017-01-17,270.0,269.50446,
2017-01-18,272.0,269.66907,
2017-01-19,278.0,271.29822,
2017-01-20,270.0,276.4562,
2017-01-23,275.0,270.07806,
2017-01-24,275.0,273.81564,
2017-01-25,275.0,273.73386,
2017-01-26,278.0,273.8662,
2017-01-27,285.0,276.2282,
2017-01-30,285.0,282.15234,
2017-01-31,280.0,282.5134,
2017-02-01,280.0,278.98297,
2017-02-02,285.0,278.75992,
2017-02-03,285.0,282.20602,
2017-02-06,288.0,282.42914,
2017-02-07,285.0,284.93555,
2017-02-08,288.0,282.9075,
2017-02-09,285.0,285.09235,
2017-02-10,280.0,282.9655,
2017-02-13,288.0,279.38245,
2017-02-14,288.0,284.31512,
2017-02-16,285.0,284.65335,
2017-02-17,282.0,282.87228,
2017-02-20,282.0,280.65533,
2017-02-21,282.0,280.1795,
2017-02-22,288.0,279.8917,
2017-02-23,285.0,284.16486,
2017-02-24,288.0,282.46536,
2017-02-27,282.0,284.8462,
2017-02-28,282.0,280.72336,
2017-03-01,278.0,280.37427,
2017-03-02,280.0,277.24738,
2017-03-03,275.0,278.00092,
2017-03-06,275.0,274.41364,
2017-03-07,278.0,273.79282,
2017-03-08,278.0,275.57617,
2017-03-09,278.0,275.8827,
2017-03-10,278.0,276.145,
2017-03-13,275.0,276.28674,
2017-03-14,275.0,274.14648,
2017-03-15,275.0,273.88544,
2017-03-16,280.0,273.70264,
2017-03-17,280.0,277.5156,
2017-03-20,275.0,277.95828,
2017-03-21,275.0,274.49268,
2017-03-22,275.0,274.13647,
2017-03-23,280.0,273.8111,
2017-03-24,275.0,277.5383,
2017-03-27,278.0,274.1337,
2017-03-29,280.0,276.26868,
2017-03-30,282.0,277.8663,
2017-03-31,282.0,279.71927,
2017-04-03,285.0,279.9929,
2017-04-04,285.0,282.47552,
2017-04-05,288.0,282.65616,
2017-04-06,285.0,285.11044,
2017-04-07,282.0,283.0072,
2017-04-10,288.0,280.81204,
2017-04-11,285.0,284.71576,
2017-04-12,285.0,282.7244,
2017-04-13,280.0,282.7533,
2017-04-17,280.0,279.13953,
2017-04-18,280.0,278.531,
2017-04-20,280.0,278.10333,
2017-04-21,275.0,277.95602,
2017-04-25,278.0,274.4356,
2017-04-26,282.0,275.92587,
2017-04-27,280.0,278.93945,
2017-04-28,280.0,277.99207,278.18549394607544
2017-04-29,,,276.85863971710205
2017-04-30,,,275.7386302947998
2017-05-01,,,274.66635751724243
2017-05-02,,,273.62661027908325
2017-05-03,,,272.6196298599243
2017-05-04,,,271.64803886413574
2017-05-05,,,270.7196159362793
2017-05-06,,,269.8414840698242
2017-05-07,,,269.0162343978882
2017-05-08,,,268.2508430480957
2017-05-09,,,267.5483469963074
2017-05-10,,,266.9123077392578
2017-05-11,,,266.3413300514221
2017-05-12,,,265.8332004547119
2017-05-13,,,265.3847875595093
2017-05-14,,,264.99390935897827
2017-05-15,,,264.65293407440186
2017-05-16,,,264.3551321029663
2017-05-17,,,264.09728813171387
2017-05-18,,,263.874303817749
2017-05-19,,,263.68216133117676
2017-05-20,,,263.5164704322815
2017-05-21,,,263.373055934906
2017-05-22,,,263.2481412887573
2017-05-23,,,263.13842725753784
2017-05-24,,,263.04109716415405
2017-05-25,,,262.9537854194641
2017-05-26,,,262.8745880126953
2017-05-27,,,262.801983833313
2017-05-28,,,262.73480319976807
2017-05-29,,,262.67217540740967
2017-05-30,,,262.6134605407715
2017-05-31,,,262.5582127571106
2017-06-01,,,262.50612783432007
2017-06-02,,,262.4570116996765
2017-06-03,,,262.41073846817017
2017-06-04,,,262.3672242164612
2017-06-05,,,262.3264112472534
2017-06-06,,,262.2882523536682
2017-06-07,,,262.25269508361816
2017-06-08,,,262.21968173980713
2017-06-09,,,262.18912839889526
2017-06-10,,,262.1609354019165
2017-06-11,,,262.13499784469604
2017-06-12,,,262.1111845970154
2017-06-13,,,262.0893750190735
2017-06-14,,,262.0694169998169
2017-06-15,,,262.05117416381836
2017-06-16,,,262.034512758255
2017-06-17,,,262.0192885398865
2017-06-18,,,262.005375623703
2017-06-19,,,261.9926481246948
2017-06-20,,,261.980993270874
2017-06-21,,,261.97031140327454
2017-06-22,,,261.9605002403259
2017-06-23,,,261.9514811038971
2017-06-24,,,261.9431779384613
2017-06-25,,,261.9355251789093
2017-06-26,,,261.9284625053406
2017-06-27,,,261.9219374656677
2017-06-28,,,261.9159028530121
2017-06-29,,,261.9103193283081
2017-06-30,,,261.905152797699
2017-07-01,,,261.900377035141
2017-07-02,,,261.8959527015686
2017-07-03,,,261.8918614387512
2017-07-04,,,261.8880796432495
2017-07-05,,,261.8845810890198
2017-07-06,,,261.8813500404358
2017-07-07,,,261.8783655166626
2017-07-08,,,261.875611782074
2017-07-09,,,261.87307047843933
2017-07-10,,,261.87072587013245
2017-07-11,,,261.86856484413147
2017-07-12,,,261.86657428741455
2017-07-13,,,261.86473846435547
2017-07-14,,,261.8630442619324
2017-07-15,,,261.8614864349365
2017-07-16,,,261.86004662513733
2017-07-17,,,261.85872745513916
2017-07-18,,,261.8575053215027
2017-07-19,,,261.8563802242279
2017-07-20,,,261.8553442955017
2017-07-21,,,261.85439229011536
2017-07-22,,,261.8535084724426
2017-07-23,,,261.8526954650879
2017-07-24,,,261.8519480228424
2017-07-25,,,261.85125827789307
2017-07-26,,,261.85061836242676
2017-07-27,,,261.8500256538391
2017-07-28,,,261.8494801521301
2017-07-29,,,261.84897661209106
2017-07-30,,,261.84851241111755
