"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2016","272","275","278","270","1.58M","-1.09%"
"11/29/2016","275","272","278","270","9.14M","1.10%"
"11/28/2016","272","275","275","270","2.14M","-1.09%"
"11/25/2016","275","275","278","272","1.31M","1.10%"
"11/24/2016","272","275","280","268","3.27M","-1.09%"
"11/23/2016","275","278","280","272","2.55M","0.00%"
"11/22/2016","275","272","278","270","947.80K","1.10%"
"11/21/2016","272","272","275","270","3.12M","0.00%"
"11/18/2016","272","270","272","268","5.15M","0.74%"
"11/17/2016","270","272","272","268","1.22M","-0.74%"
"11/16/2016","272","262","275","260","26.57M","5.43%"
"11/15/2016","258","258","268","258","2.65M","0.00%"
"11/14/2016","258","265","265","255","3.78M","-2.64%"
"11/11/2016","265","275","275","265","8.89M","-3.64%"
"11/10/2016","275","275","278","275","10.66M","0.00%"
"11/09/2016","275","280","280","272","8.69M","-1.79%"
"11/08/2016","280","278","280","275","9.23M","1.82%"
"11/07/2016","275","278","285","272","9.30M","-2.48%"
"11/04/2016","282","280","282","275","4.55M","0.71%"
"11/03/2016","280","282","288","278","3.20M","-0.71%"
"11/02/2016","282","280","285","280","6.89M","-1.05%"
"11/01/2016","285","282","288","282","3.23M","1.06%"
"10/31/2016","282","292","292","282","3.15M","-2.08%"
"10/28/2016","288","285","295","285","12.13M","2.13%"
"10/27/2016","282","282","288","282","2.58M","0.00%"
"10/26/2016","282","282","288","280","2.60M","0.00%"
"10/25/2016","282","280","288","280","3.15M","0.71%"
"10/24/2016","280","278","282","272","3.02M","1.82%"
"10/21/2016","275","278","282","275","4.98M","0.00%"
"10/20/2016","275","278","278","272","3.03M","0.00%"
"10/19/2016","275","282","282","275","8.70M","-2.48%"
"10/18/2016","282","282","285","280","2.08M","0.00%"
"10/17/2016","282","272","288","272","4.56M","2.55%"
"10/14/2016","275","278","278","268","10.93M","0.00%"
"10/13/2016","275","288","290","275","33.89M","-4.51%"
"10/12/2016","288","285","292","282","12.02M","0.00%"
"10/11/2016","288","280","288","275","43.21M","4.73%"
"10/10/2016","275","280","285","275","2.28M","-2.48%"
"10/07/2016","282","288","288","280","3.84M","-2.08%"
"10/06/2016","288","282","290","282","13.21M","2.86%"
"10/05/2016","280","275","288","272","24.97M","1.82%"
"10/04/2016","275","275","278","270","9.44M","-1.08%"
"10/03/2016","278","270","280","270","16.13M","3.73%"
"09/30/2016","268","275","278","265","9.61M","-2.55%"
"09/29/2016","275","258","278","258","31.91M","6.59%"
"09/28/2016","258","258","262","258","9.32M","1.18%"
"09/27/2016","255","255","260","252","9.91M","0.00%"
"09/26/2016","255","260","260","252","32.21M","-1.92%"
"09/23/2016","260","260","265","258","11.11M","0.00%"
"09/22/2016","260","258","270","258","11.31M","0.78%"
"09/21/2016","258","255","260","255","11.33M","1.18%"
"09/20/2016","255","255","258","252","2.87M","0.00%"
"09/19/2016","255","265","265","252","22.07M","-3.77%"
"09/16/2016","265","255","265","255","14.89M","3.92%"
"09/15/2016","255","255","262","250","11.52M","0.00%"
"09/14/2016","255","260","260","252","8.08M","-1.92%"
"09/13/2016","260","260","262","258","6.94M","0.00%"
"09/09/2016","260","265","278","260","11.59M","-2.99%"
"09/08/2016","268","270","270","265","4.31M","-0.74%"
"09/07/2016","270","270","272","268","2.31M","0.00%"
